timestamp;x;y;theta
1614280893667;-0.9328600000000242;1.25;0
1614280893686;-0.9290800000000243;1.25;0
1614280893706;-0.9253000000000244;1.25;0
1614280893726;-0.9215200000000245;1.25;0
1614280893748;-0.9177400000000246;1.25;0
1614280893767;-0.9139600000000248;1.25;0
1614280893786;-0.9101800000000249;1.25;0
1614280893806;-0.906400000000025;1.25;0
1614280893825;-0.9026200000000251;1.25;0
1614280893851;-0.8988400000000252;1.25;0
1614280893867;-0.8950600000000253;1.25;0
1614280893886;-0.8912800000000254;1.25;0
1614280893906;-0.8875000000000255;1.25;0
1614280893926;-0.8837200000000256;1.25;0
1614280893947;-0.8799400000000257;1.25;0
1614280893967;-0.8761600000000258;1.25;0
1614280893986;-0.8723800000000259;1.25;0
1614280894005;-0.868600000000026;1.25;0
1614280894026;-0.8648200000000261;1.25;0
1614280894047;-0.8610400000000262;1.25;0
1614280894065;-0.8572600000000263;1.25;0
1614280894086;-0.8534800000000264;1.25;0
1614280894106;-0.8497000000000265;1.25;0
1614280894125;-0.8459200000000267;1.25;0
1614280894145;-0.8421400000000268;1.25;0
1614280894165;-0.8383600000000269;1.25;0
1614280894186;-0.834580000000027;1.25;0
1614280894238;-0.8308000000000271;1.25;0
1614280894246;-0.8270200000000272;1.25;0
1614280894266;-0.8232400000000273;1.25;0
1614280894286;-0.8194600000000274;1.25;0
1614280894305;-0.8156800000000275;1.25;0
1614280894326;-0.8119000000000276;1.25;0
1614280894346;-0.8081200000000277;1.25;0
1614280894365;-0.8043400000000278;1.25;0
1614280894386;-0.8005600000000279;1.25;0
1614280894406;-0.796780000000028;1.25;0
1614280894426;-0.7930000000000281;1.25;0
1614280894446;-0.7892200000000282;1.25;0
1614280894465;-0.7854400000000283;1.25;0
1614280894485;-0.7816600000000284;1.25;0
1614280894505;-0.7778800000000285;1.25;0
1614280894525;-0.7741000000000287;1.25;0
1614280894545;-0.7703200000000288;1.25;0
1614280894565;-0.7665400000000289;1.25;0
1614280894586;-0.762760000000029;1.25;0
1614280894612;-0.7625800000000282;1.25;0
1614280894626;-0.7624000000000275;1.25;0
1614280894648;-0.7622200000000268;1.25;0
1614280894668;-0.762040000000026;1.25;0
1614280894687;-0.7618600000000253;1.25;0
1614280894705;-0.7616800000000246;1.25;0
1614280894726;-0.7615000000000238;1.25;0
1614280894749;-0.7613200000000231;1.25;0
1614280894768;-0.7611400000000224;1.25;0
1614280894786;-0.7609600000000216;1.25;0
1614280894806;-0.7607800000000209;1.25;0
1614280894826;-0.7606000000000201;1.25;0
1614280894851;-0.7604200000000194;1.25;0
1614280894868;-0.7602400000000187;1.25;0
1614280894887;-0.7600600000000179;1.25;0
1614280894905;-0.7598800000000172;1.25;0
1614280894927;-0.7597000000000165;1.25;0
1614280894948;-0.7595200000000157;1.25;0
1614280894967;-0.759340000000015;1.25;0
1614280894986;-0.7591600000000143;1.25;0
1614280895006;-0.7589800000000135;1.25;0
1614280895025;-0.7588000000000128;1.25;0
1614280895045;-0.7586200000000121;1.25;0
1614280895066;-0.7584400000000113;1.25;0
1614280895085;-0.7582600000000106;1.25;0
1614280895105;-0.7580800000000099;1.25;0
1614280895125;-0.7579000000000091;1.25;0
1614280895145;-0.7577200000000084;1.25;0
1614280895165;-0.7575400000000077;1.25;0
1614280895185;-0.7573600000000069;1.25;0
1614280895225;-0.7571800000000062;1.25;0
1614280895245;-0.7570000000000054;1.25;0
1614280895265;-0.7568200000000047;1.25;0
1614280895285;-0.756640000000004;1.25;0
1614280895305;-0.7564600000000032;1.25;0
1614280895325;-0.7562800000000025;1.25;0
1614280895345;-0.7561000000000018;1.25;0
1614280895365;-0.755920000000001;1.25;0
1614280895385;-0.7557400000000003;1.25;0
1614280895405;-0.7555599999999996;1.25;0
1614280895425;-0.7553799999999988;1.25;0
1614280895445;-0.7551999999999981;1.25;0
1614280895465;-0.7550199999999974;1.25;0
1614280895485;-0.7548399999999966;1.25;0
1614280895505;-0.7546599999999959;1.25;0
1614280895525;-0.7544799999999952;1.25;0
1614280895545;-0.7542999999999944;1.25;0
1614280895565;-0.7541199999999937;1.25;0
1614280895585;-0.753939999999993;1.25;0
1614280895608;-0.753939999999993;1.25;0
1614280895625;-0.753939999999993;1.25;0
1614280895646;-0.753939999999993;1.25;0
1614280895664;-0.753939999999993;1.25;0
1614280895684;-0.753939999999993;1.25;0
1614280895705;-0.753939999999993;1.25;0
1614280895724;-0.753939999999993;1.25;0
1614280895745;-0.753939999999993;1.25;0
1614280895765;-0.753939999999993;1.25;0
1614280895784;-0.753939999999993;1.25;0
1614280895805;-0.753939999999993;1.25;0
1614280895825;-0.753939999999993;1.25;0
1614280895845;-0.753939999999993;1.25;0
1614280895865;-0.753939999999993;1.25;0
1614280895885;-0.753939999999993;1.25;0
1614280895905;-0.753939999999993;1.25;0
1614280895925;-0.753939999999993;1.25;0
1614280895948;-0.753939999999993;1.25;0
1614280895968;-0.753939999999993;1.25;0
1614280895986;-0.753939999999993;1.25;0
1614280896006;-0.753939999999993;1.25;0
1614280896026;-0.753939999999993;1.25;0
1614280896046;-0.753939999999993;1.25;0
1614280896065;-0.753939999999993;1.25;0
1614280896086;-0.753939999999993;1.25;0
1614280896105;-0.753939999999993;1.25;0
1614280896125;-0.753939999999993;1.25;0
1614280896145;-0.753939999999993;1.25;0
1614280896165;-0.753939999999993;1.25;0
1614280896186;-0.753939999999993;1.25;0
1614280896237;-0.753939999999993;1.25;0
1614280896246;-0.753939999999993;1.25;0
1614280896264;-0.753939999999993;1.25;0
1614280896284;-0.753939999999993;1.25;0
1614280896304;-0.753939999999993;1.25;0
1614280896324;-0.753939999999993;1.25;0
1614280896344;-0.753939999999993;1.25;0
1614280896365;-0.753939999999993;1.25;0
1614280896386;-0.753939999999993;1.25;0
1614280896405;-0.753939999999993;1.25;0
1614280896425;-0.753939999999993;1.25;0
1614280896445;-0.753939999999993;1.25;0
1614280896465;-0.753939999999993;1.25;0
1614280896487;-0.753939999999993;1.25;0
1614280896506;-0.753939999999993;1.25;0
1614280896525;-0.753939999999993;1.25;0
1614280896545;-0.753939999999993;1.25;0
1614280896565;-0.753939999999993;1.25;0
1614280896585;-0.753939999999993;1.25;0
1614280896612;-0.753939999999993;1.25;0
1614280896625;-0.753939999999993;1.25;0
1614280896648;-0.753939999999993;1.25;0
1614280896665;-0.753939999999993;1.25;0
1614280896684;-0.753939999999993;1.25;0
1614280896705;-0.753939999999993;1.25;0
1614280896725;-0.753939999999993;1.25;0
1614280896745;-0.753939999999993;1.25;0
1614280896765;-0.753939999999993;1.25;0
1614280896785;-0.753939999999993;1.25;0
1614280896805;-0.753939999999993;1.25;0
1614280896825;-0.753939999999993;1.25;0
1614280896846;-0.753939999999993;1.25;0
1614280896865;-0.753939999999993;1.25;0
1614280896887;-0.753939999999993;1.25;0
1614280896906;-0.753939999999993;1.25;0
1614280896926;-0.753939999999993;1.25;0
1614280896947;-0.753939999999993;1.25;0
1614280896968;-0.753939999999993;1.25;0
1614280896986;-0.753939999999993;1.25;0
1614280897005;-0.753939999999993;1.25;0
1614280897025;-0.753939999999993;1.25;0
1614280897047;-0.753939999999993;1.25;0
1614280897065;-0.753939999999993;1.25;0
1614280897086;-0.753939999999993;1.25;0
1614280897105;-0.753939999999993;1.25;0
1614280897125;-0.753939999999993;1.25;0
1614280897145;-0.753939999999993;1.25;0
1614280897165;-0.753939999999993;1.25;0
1614280897186;-0.753939999999993;1.25;0
1614280897232;-0.753939999999993;1.25;0
1614280897244;-0.753939999999993;1.25;0
1614280897264;-0.753939999999993;1.25;0
1614280897286;-0.753939999999993;1.25;0
1614280897306;-0.753939999999993;1.25;0
